Data Size, Merge Sort Time (ns), Quick Sort Time (ns), Select Time (ns)
10,2212,7009,212
100,6154,63495,1568
1000,105863,598057,9799
10000,628898,11105435,315624
100000,7661763,67312379,771726
1000000,84988104,655506212,10425036
10,3229,12544,344
100,10789,107611,2838
1000,120120,1118999,18473
10000,1304021,12764921,324575
100000,19262445,65158292,796831
1000000,85744351,673272883,8101173
10,1661,5639,206
100,8461,79344,1944
1000,69597,742849,10368
10000,1173602,10497179,184917
100000,9395918,68181469,776239
1000000,85354807,662127317,7728188
10,2745,10512,342
100,11350,102698,3100
1000,96911,1168713,19844
10000,1161368,11385575,185018
100000,22177535,68660745,1498863
1000000,107519750,698810359,11147938
10,2758,12029,391
100,11106,115447,2681
1000,101528,1137120,19608
10000,1198405,14048668,277972
100000,13951325,80059864,801850
1000000,91574003,644382653,8167616
10,2942,12234,386
100,6144,63130,1613
1000,55859,624324,19247
10000,652185,6437663,138223
100000,8146889,62245180,854914
1000000,88215515,694375672,13926533
10,1479,5692,187
100,6060,62268,1481
1000,58754,605933,10631
10000,644522,6417174,108126
100000,8478389,67678336,776820
1000000,121896397,755006852,11848889
10,1592,5150,194
100,5993,57373,1529
1000,55276,612999,10462
10000,659165,6261823,104930
100000,8251295,79898478,863365
1000000,96900671,713605016,14005960
10,2560,10599,367
100,10468,112298,2958
1000,102618,1098891,19102
10000,1086188,8622547,102239
100000,8128388,67307833,827670
1000000,89289108,852202874,7955509
10,1850,6477,209
100,6234,62039,1617
1000,55203,618914,10651
10000,666866,6314805,164479
100000,7912782,65562537,879914
1000000,90496969,852959363,14843059
